"filename", "language", "JSON", "XML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Docker", "Ignore", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 8, 35
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 9, 83
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\contacts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 350, 0, 19, 24, 393
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 277, 0, 11, 19, 307
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 15, 23, 219
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\orders\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 712, 0, 43, 53, 808
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\products-list\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 19, 25, 357
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\products\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1840, 0, 127, 157, 2124
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\subscribers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 13, 21, 319
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\users\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\(manage)\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 4, 11, 202
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\admin\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 18, 19, 247
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\auth\confirm\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\auth\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 9, 63
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\auth\google-callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 11, 16, 114
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\auth\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 13, 98
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 4, 9, 67
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 5, 8, 94
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\coffee\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 10, 117
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\coffee\metadata.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\coffee\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 13, 17, 193
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\contact\metadata.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 15, 162
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\dashboard\orders\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 305, 0, 17, 27, 349
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 13, 118
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 789, 57, 86, 932
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 7, 15, 167
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 10, 11, 75
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\orders\confirmation\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 11, 31, 343
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\payment-cancelled\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\payment-success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 7, 55
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\policies\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\policies\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 429, 0, 22, 42, 493
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\product\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 13, 127
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\refund\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\shop\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 9, 22, 245
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\unsubscribe\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 4, 13, 100
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\wholesale\metadata.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\[locale]\wholesale\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 8, 14, 184
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\robots.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\app\sitemap.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 13, 65
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\GoogleSDKScript.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 10, 4, 30
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\ShopFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 506, 0, 12, 38, 556
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\admin\sliders\slider-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 1, 7, 89
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\auth\auth-init.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\auth\auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 11, 50
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\auth\unified-auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 3, 32, 250
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\cart\cart-express-checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 9, 55
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\cart\cart-recommendations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 5, 13, 121
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\cart\cart-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 12, 19, 190
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\cart\cart-upsell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 5, 16, 141
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\checkout\checkout-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1199, 0, 102, 170, 1471
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\checkout\truck-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 16, 25, 197
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\currency\currency-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 24, 17, 133
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\currency\example-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 32, 18, 187
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\currency\formatted-price.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 6, 31
